,main_pat_id,gender,first_name,last_name,middle_name,dob,marital_status,ethnicity,nhs_no,gp_title,gp_forename,gp_surname,gp_addr1,gp_addr2,gp_addr3,gp_addr4,gp_postcode,gp_workphone,pat_addr1,pat_addr2,pat_addr3,postcode,homephone,hospital_no,death_indicator,gp_local_code,gp_doh_code,gp_practicecode,date_of_death
75,P1000075,F,JOANNE,CLARK,DEBORAH,1970-11-02,S,C1,107 476 5915,DR.,JADE,HODGSON,51 TAYLOR FOREST,STUDIO 18,GLENNFORT,,IV80 9PX,0131 496 0354,00 SHEILA DIVIDE,STUDIO 76,LAKE ELLIOTTVILLE,TS03,+441144960628,S9662568,0,Q05,G8824912,C82376,
76,P1000076,M,STEWART,DEAN,KEITH,1971-08-12,M,C1,596 443 5645,DR.,GARETH,GREGORY,9 DAWN TUNNEL,FLAT 84,SOUTH LINDAPORT,,E98 7UZ,(0118)4960015,7 WILLIAMSON VILLE,FLAT 71T,EAST ROYBURY,EC8H,0121 496 0857,S3192796,0,Q48,G9368112,C82274,
77,P1000077,M,AARON,PARRY,RAYMOND,1967-11-12,S,C1,331 810 4221,DR.,KEITH,HILL,"FLAT 50L
CHAMBERS STRAVENUE",STUDIO 94M,WEST HANNAHMOUTH,,IM9 3TF,+441414960122,"STUDIO 71
SAMANTHA HARBOR",STUDIO 6,HUSSAINHAVEN,L22,+441632960257,S9706875,1,Q07,G2562734,C82323,2016-05-16
78,P1000078,F,KAYLEIGH,BEVAN,JANICE,1961-05-27,S,A,265 216 6433,DR.,MANDY,ANDREWS,716 ANDERSON ISLANDS,FLAT 44H,NEW CLIVEMOUTH,,E1A 1TZ,+44(0)118 496 0723,335 JADE STREETS,FLAT 0,LAKE KELLYBERG,HX7,+44(0)909 879 0659,S7021553,0,Q66,G3288154,C82279,
79,P1000079,M,BRANDON,WARD,ERIC,1973-06-15,S,C1,862 530 7132,DR.,CONOR,MARTIN,44 SHEPHERD LANE,FLAT 59,LAKE RICHARDSTAD,,B0 1RR,0151 496 0717,202 CAROLYN SQUARES,FLAT 73,EAST HEATHER,PA06,+44(0)8081570428,M6001739,0,Q69,G6405552,C82353,
80,P1000080,M,NICHOLAS,BROWN,VICTOR,1957-08-16,M,B,866 389 3795,DR.,MARK,ABBOTT,"FLAT 94E
ALICE FLAT",STUDIO 88,WEST ANNETTEVILLE,,CB8 9UW,+44116 496 0548,80 ALICE ISLAND,STUDIO 04O,MARTYNBERG,G2,+449098790500,C6269194,1,Q23,G8858410,C82795,2016-07-09
81,P1000081,M,LESLIE,HICKS,ANTONY,1993-03-09,M,B,283 558 1960,DR.,NORMAN,EDWARDS,833 SMITH PORTS,STUDIO 9,NORTH IAIN,,W1 0QL,+44(0)808 1570473,"STUDIO 73
ASHLEY PIKE",FLAT 2,MOOREPORT,DA72,+44116 496 0432,C6861239,0,Q10,G3908171,C82112,
82,P1000082,F,ELIZABETH,COX,SHARON,1994-06-01,M,A,892 183 6519,DR.,HILARY,GORDON,41 MICHAEL CIRCLES,FLAT 19X,COOPERBURY,,OX2 0TA,+44(0)1214960602,7 JENKINS PLAINS,FLAT 1,CAROLEMOUTH,S5E,0131 4960545,M4016791,0,Q90,G4824356,C82688,
83,P1000083,M,BRYAN,ATKINSON,BRANDON,1970-05-10,S,B,474 004 8701,DR.,CHARLIE,STOKES,705 SHAUN DAM,STUDIO 19,COLECHESTER,,AB4Y 8QJ,+44(0)1632 960305,"STUDIO 36E
JESSICA STRAVENUE",FLAT 86,LAKE GARY,BD47,01154960471,S8750888,0,Q48,G9389145,C82014,
84,P1000084,F,ASHLEIGH,BEVAN,SARAH,1998-06-29,M,B,863 743 9683,DR.,KAREN,FOWLER,0 ADAMS CROSSROAD,STUDIO 6,JODIEHAVEN,,W57 2BN,+44306 999 0033,08 LEE VILLAGE,STUDIO 2,NORTH FRANK,HD4,(0191) 4960735,S1681211,0,Q54,G8152208,C82579,
85,P1000085,M,CHRISTOPHER,DAWSON,KIERAN,1976-11-16,C,C2,556 311 5682,DR.,RAYMOND,CHAMBERS,"FLAT 73
WHITE NECK",STUDIO 62E,NORTH BETH,,G0F 3GL,+44151 4960474,6 BEGUM CENTERS,STUDIO 5,TRACYTOWN,W4T,+44(0)808 157 0752,M1606531,0,Q96,G1344603,C82283,
86,P1000086,F,HARRIET,MOSS,AMBER,1966-01-05,S,C1,647 224 3913,DR.,KIMBERLEY,KAUR,"STUDIO 3
JAMIE MANORS",FLAT 64Z,THOMSONVILLE,,NW49 5XB,(0141) 496 0588,"STUDIO 15P
CAROL OVAL",STUDIO 58Z,BRYANMOUTH,B2,(0909)8790893,M2126994,0,Q33,G9977385,C82642,
87,P1000087,M,BRANDON,LEES,LESLIE,1992-06-17,S,C1,341 950 1102,DR.,JOEL,RICHARDSON,"FLAT 3
PARKINSON SHOALS",STUDIO 23,LAKE SHEILA,,G1 9GZ,+44(0)115 496 0989,317 ELLIOT CAPE,STUDIO 69G,NEW HOLLYLAND,N0T,+44292018472,S7377019,0,Q26,G1467708,C82410,
88,P1000088,F,HEATHER,WRIGHT,KIRSTY,1972-03-20,S,C1,487 050 8737,DR.,CHRISTINE,TAYLOR,6 JOHNSTON EXTENSIONS,FLAT 89,CHELSEABERG,,EN2 1WN,0114 4960210,962 MATTHEWS DRIVE,STUDIO 4,WEST FRANKTON,E3S,(0151) 496 0349,S1773062,0,Q88,G6318542,C82574,
89,P1000089,F,LISA,SHAH,TRACY,1949-04-06,M,A,470 459 0097,DR.,AMY,AHMED,90 DENIS GROVES,FLAT 46,SOUTH ANDREW,,DA62 1RP,+441154960648,26 NAOMI SPRINGS,STUDIO 00,LAKE CLIVE,PA3R,08081570945,C6046384,0,Q89,G3081729,C82668,
90,P1000090,F,KAREN,O'BRIEN,ASHLEIGH,1977-04-07,M,A,318 392 6725,DR.,KAREN,POWELL,"FLAT 21
JULIAN FOREST",STUDIO 6,EAST EMMABURY,,W48 1XJ,+44(0)118 4960427,37 GARRY COVE,STUDIO 3,JEANFURT,CR5R,+44(0)151 4960473,M9461847,0,Q78,G2026398,C82362,
91,P1000091,F,CATHERINE,WATTS,LESLEY,1964-01-13,S,A,380 103 7169,DR.,HOLLY,SMITH,"FLAT 4
DAVIS SHOALS",FLAT 1,NEW ANNEVILLE,,BN3 6GQ,0151 4960205,"FLAT 45
WEBSTER ROAD",STUDIO 22,SOUTH BARBARA,S8U,(0151)4960970,M6284523,0,Q86,G5698818,C82071,
92,P1000092,M,NEIL,ROSE,GERALD,1991-01-10,S,B,508 649 3757,DR.,SHANE,PRICE,227 EDWARDS CRESCENT,FLAT 4,ELLISBERG,,B13 7BW,+44118 496 0583,"FLAT 20
ALI SQUARE",STUDIO 1,HUNTFURT,CW37,(0191) 496 0062,S5518067,0,Q69,G3963238,C82114,
93,P1000093,M,JULIAN,NICHOLLS,IAIN,1988-01-02,S,A,392 376 7900,DR.,MOHAMMAD,O'BRIEN,"FLAT 79L
HODGSON HAVEN",FLAT 2,STOKESTOWN,,JE21 2FB,+441614960626,71 MITCHELL SHORES,STUDIO 69,CHARLOTTEVIEW,W8J,+442074960544,S4616394,0,Q81,G8287366,C82471,
94,P1000094,F,KATHERINE,WOOD,MOLLY,1960-03-15,S,C1,778 344 9999,DR.,DEBRA,HYDE,"STUDIO 96
SOPHIE ISLANDS",FLAT 68U,NORTH DAVID,,CF9 9EE,0114 496 0827,"STUDIO 19C
LLOYD DALE",STUDIO 62,NEW FRANCESCALAND,SY3V,+44(0)121 4960974,S8449412,0,Q01,G7491754,C82973,
95,P1000095,F,ANNETTE,TURNBULL,ALICE,2007-05-17,S,C1,747 346 9703,DR.,DAWN,WILKINS,69 JUDITH JUNCTION,STUDIO 5,NEW JEREMY,,HS48 7FR,020 74960772,82 STEPHENSON PORT,STUDIO 8,LAKE LOUISETOWN,BA49,+44(0)1632 960585,S8566784,0,Q93,G6482905,C82494,
96,P1000096,F,CLARE,EVANS,LYNN,1979-04-06,S,C2,571 880 2300,DR.,JULIA,MARTIN,548 KERR CENTER,FLAT 16K,LAKE JOAN,,M3 1SN,+44(0)1184960207,"FLAT 10E
COOK INLET",STUDIO 05,KENNETHCHESTER,KT39,+44(0)1914960918,S9311821,0,Q37,G5479745,C82655,
97,P1000097,F,BETHAN,BENSON,VANESSA,1979-10-18,M,B,644 228 1671,DR.,MARILYN,COOPER,1 PHILIP COVES,STUDIO 56,SOUTH FRANKHAVEN,,FY23 1RT,+44(0)114 4960038,"STUDIO 24S
JOSEPH TUNNEL",FLAT 7,O'SULLIVANBERG,IM6W,+44(0)118 4960487,M2836493,0,Q29,G0319429,C82660,
98,P1000098,F,KIRSTY,BOYLE,RUTH,1942-09-02,C,A,632 413 3508,DR.,WENDY,SINGH,128 MILLER WELL,FLAT 21K,NEW BENJAMINFORT,,E5F 6ZE,+44(0)117 496 0530,27 BARBARA FORGE,FLAT 4,LAKE ROSS,DA5A,(0113) 4960001,M7312442,1,Q62,G1004371,C82658,2018-07-15
99,P1000099,F,CAROL,WYATT,CHRISTINE,1979-04-03,M,A,199 498 1229,DR.,LEANNE,WATSON,694 NORMAN WELLS,STUDIO 6,PORT LEANNEMOUTH,,M4C 3UG,(0114) 4960346,145 NICHOLAS FORGES,FLAT 83,DUNCANHAVEN,B18,(01632)960544,S8799334,0,Q29,G2635658,C82379,
